Grasmyr ungdomsskole,Tønderveien 9,3960,Stathelle,Bamble,35965700,Grunnskole
Herre skole,Rafnesvegen 3,3965,Herre,Bamble,35965680,Grunnskole
Langesund barneskole,Nustad skolevei 9,3970,Langesund,Bamble,35967680,Grunnskole
Langesund ungdomsskole,H.P. Jacobsensgt. 10,3970,Langesund,Bamble,35965730,Grunnskole
Rugtvedt skole,Herreveien 2b,3960,Stathelle,Bamble,35965750,Grunnskole
Rønholdt skole,Rønholtveien 71,3960,Stathelle,Bamble,35965780,Grunnskole
Stathelle barneskole,Kjellestadbakken 36,3960,Stathelle,Bamble,35967450,Grunnskole
Bø skule,Gamlevegen 71,3800,Bø i Telemark,Bø,35060666,Grunnskole
Bø ungdomsskule,Frivollvegen 10,3800,Bø i Telemark,Bø,35059300,Grunnskole
Folkestad skule,Eikavegen 61,3800,Bø i Telemark,Bø,35059400,Grunnskole
Bostrak skule,,3750,Drangedal,Drangedal,35997760,Grunnskole
"Bø skule, Tørdal",,3753,Tørdal,Drangedal,35997770,Grunnskole
Drangedal 10-årige skole,Skoleveien 2,3750,Drangedal,Drangedal,35997710,Grunnskole
Kroken skule,,3760,Neslandsvatn,Drangedal,35997730,Grunnskole
Gimle skule,,3870,Fyresdal,Fyresdal,35067176,Grunnskole
Hjartdal skule avdeling Kyrkjekrinsen,Rogrendvegen 13,3690,Hjartdal,Hjartdal,35024918,Grunnskole
Hjartdal skule avdeling Gvammen,Opsalvegen 55,3690,Hjartdal,Hjartdal,35024918,Grunnskole
Sauland skule,Saulandsvegen 541,3692,Sauland,Hjartdal,35028300,Grunnskole
Tuddal skule,Gaustavegen 10,3697,Tuddal,Hjartdal,35024036,Grunnskole
Helle skole,Hassedalsveien 1a,3790,Helle,Kragerø,92062169,Grunnskole
Kragerø barne- og ungdomsskole,Bjørneveien 5,3770,Kragerø,Kragerø,35985400,Grunnskole
Levangsheia skole,Bryggebakken 2,3788,Stabbestad,Kragerø,35980259,Grunnskole
Sannidal skole,Torsdalsveien 2,3766,Sannidal,Kragerø,35992017,Grunnskole
Sannidal ungdomsskole,Kloppkjærveien 6,3766,Sannidal,Kragerø,35992500,Grunnskole
Kragerøskjærgården montessoriskole,Stoppedalveien 24,3780,Skåtøy,Kragerø,48290744,Grunnskole
Kalstad voksenopplæring,Kalstadvegen 16,3770,Kragerø,Kragerø,35985080,Grunnskole
Brunkeberg oppvekstsenter,Kvitseidvegen 2a,3850,Kviteseid,Kviteseid,35055340,Grunnskole
Krodokk voksenopplæring,Selandsvegen 1,3850,Kviteseid,Kviteseid,35068181,Grunnskole
Kviteseid skule,Skulevegen 9,3850,Kviteseid,Kviteseid,35055300,Grunnskole
Kviteseid ungdomsskole,Skulevegen 11,3850,Kviteseid,Kviteseid,35055300,Grunnskole
Straumnes oppvekstsenter,Straumsnesvegen 29,3853,Vrådal,Kviteseid,35055320,Grunnskole
Fjone skule,Fjone,3855,Treungen,Nissedal,35048468,Grunnskole
Kyrkjebygda oppvekstsenter,,3854,Nissedal,Nissedal,35048464,Grunnskole
Tveit skule / Nissedal ungdomsskule,gnr 33/bnr 95,3855,Treungen,Nissedal,35048482,Grunnskole
Helgen montessoriskole,Skiensvegen 386,3830,Ulefoss,Nome,46986565,Grunnskole
Holla ungdomsskole,Kirkebakken 18,3830,Ulefoss,Nome,35949700,Grunnskole
Lunde 10-årige skole,Brugata 42,3825,Lunde,Nome,35949800,Grunnskole
Ulefoss skole,Kirkebakken 28,3830,Ulefoss,Nome,35008720,Grunnskole
Gransherad barne- og ungdomsskole,Lerkelunden 24,3691,Gransherad,Notodden,35016730,Grunnskole
Heddal ungdomsskole,Rogneståvegen 6,3676,Notodden,Notodden,35015260,Grunnskole
Høgås skole,Høgåstunet 2,3684,Notodden,Notodden,35015670,Grunnskole
Lisleherad montessoriskole,Bjarne Hansens vei 22,3680,Notodden,Notodden,99546013,Grunnskole
Notodden ungdomsskole,Fridtjof Nansensgt. 43,3679,Notodden,Notodden,35015200,Grunnskole
Heddal barneskole,Heddalsvegen 447,3677,Notodden,Notodden,35015810,Grunnskole
Notodden barneskole avdeling Sætre,Fridtjof Nansensgt. 41,3679,Notodden,Notodden,35015232,Grunnskole
Notodden barneskole avdeling Tinnesmoen ,Langkåsvegen 14,3675,Notodden,Notodden,35015250,Grunnskole
Tveiten skole,Jonas Liesgt. 27,3683,Notodden,Notodden,35015650,Grunnskole
Myrene skole hørsel,Vipevegen 4,3917,Porsgrunn,Porsgrunn,35565280,Grunnskole
Bergsbygda montessoriskole,Bergsbygdavegen 558,3949,Porsgrunn,Porsgrunn,99522166,Grunnskole
Borge skole,Øvre Liane 57,3914,Porsgrunn,Porsgrunn,35560660,Grunnskole
Brattås skole,Brattåsvegen 12,3942,Porsgrunn,Porsgrunn,35565470,Grunnskole
Brevik oppvekstsenter,Chrystiegt. 1,3950,Brevik,Porsgrunn,95234600,Grunnskole
Grønli skole,Rønningvegen 85,3925,Porsgrunn,Porsgrunn,35930100,Grunnskole
Heistad skole,Lundedalen 35,3940,Porsgrunn,Porsgrunn,46845018,Grunnskole
Heistad ungdomsskole,Gamle Breviksveg 107,3940,Porsgrunn,Porsgrunn,95234600,Grunnskole
International school Telemark,Hovet Ring 7,3931,Porsgrunn,Porsgrunn,35927100,Grunnskole
Kjølnes ungdomsskole,Grenlandsgata 9,3915,Porsgrunn,Porsgrunn,35565220,Grunnskole
Klevstrand skole,Fjellygata 39,3926,Porsgrunn,Porsgrunn,35565320,Grunnskole
Langangen skole,Lysåsvegen 7,3947,Langangen,Porsgrunn,35569550,Grunnskole
Myrene skole,Vipevegen 4,3917,Porsgrunn,Porsgrunn,35565280,Grunnskole
Sandøya montessoriskole,Postvegen 5,3950,Brevik,Porsgrunn,35916000,Grunnskole
Stridsklev skole,Stridsklev Ring 120,3929,Porsgrunn,Porsgrunn,35565260,Grunnskole
Stridsklev ungdomsskole,Stridsklev Ring 118,3929,Porsgrunn,Porsgrunn,35565240,Grunnskole
Tveten skole,Tveitanvegen 6,3946,Porsgrunn,Porsgrunn,41486300,Grunnskole
Tveten ungdomsskole,Nyhusåsen 1,3946,Porsgrunn,Porsgrunn,35565200,Grunnskole
Vestsiden oppvekstsenter,Grønstensgate 1,3920,Porsgrunn,Porsgrunn,35565350,Grunnskole
Sauherad barne- og ungdomsskole,Tinghaugvegen 1,3810,Gvarv,Sauherad,35957700,Grunnskole
Hjuksebø montessoriskole,Breisetvegen 46,3683,Notodden,Sauherad,48155494,Grunnskole
Sauar friskole,Sauarberga 9,3812,Akkerhaugen,Sauherad,35955500,Grunnskole
Flatdal skule,Flatdalsvegen 1133,3841,Flatdal,Seljord,35051360,Grunnskole
Seljord barneskule,Brøløsvegen 16,3840,Seljord,Seljord,35051330,Grunnskole
Seljord ungdomsskule,Brøløsvegen 14,3840,Seljord,Seljord,35051320,Grunnskole
Åmotsdal montessoriskule,Åmotsdalsvegen 1255,3844,Åmotsdal,Seljord,,Grunnskole
Midtbygda skole,Loppedåpan 53,3748,Siljan,Siljan,35942880,Grunnskole
Siljan ungdomsskole,Sentrumsvegen 107,3748,Siljan,Siljan,35942510,Grunnskole
Bratsbergkleiva skole,Øvregate 42,3715,Skien,Skien,35905970,Grunnskole
Buer skole,Borgevegen 41,3712,Skien,Skien,35503880,Grunnskole
Bølehøgda skole,Skolebakken 16,3746,Skien,Skien,35900850,Grunnskole
Den røde skolen,Siljanvegen 22,3719,Skien,Skien,35531160,Grunnskole
Enggrav Skole og barnehage,Borgevegen 43,3712,Skien,Skien,35503300,Grunnskole
Gimsøy ungdomsskole,Grogata 20,3704,Skien,Skien,35588130,Grunnskole
Gjerpen barneskol,Siljanvegen 22,3719,Skien,Skien,35544650,Grunnskole
Gjerpen ungdomsskole,Luksefjellvegen 20,3716,Skien,Skien,35509750,Grunnskole
Grenland kristne skole,Gulsetvegen 81,3718,Skien,Skien,47756601,Grunnskole
Gulset ungdomsskole,Nyhusvegen 20,3726,Skien,Skien,35583030,Grunnskole
Kilebygda montessoriskole,Jensejordet Nord 9,3739,Skien,Skien,35500376,Grunnskole
Kjørbekkhøgda skole,Torvmyrvegen 17,3735,Skien,Skien,35597852,Grunnskole
Klyve skole,Klyvevegen 10b,3740,Skien,Skien,35915770,Grunnskole
Kollmyr skole,Gulsetringen 163,3727,Skien,Skien,35503490,Grunnskole
Kongerød skole,Kongerødvegen 7-9,3737,Skien,Skien,35915810,Grunnskole
Lunde skole,Lundegata 17,3724,Skien,Skien,35585900,Grunnskole
Melum skole,Binnåsvegen 2,3729,Skien,Skien,35506820,Grunnskole
Menstad ungdomsskole,Haugsåsvegen 34,3712,Skien,Skien,35904140,Grunnskole
Moflata skole,Moflatvegen 32,3733,Skien,Skien,35506260,Grunnskole
Mæla ungdomsskole,Gamlegrensa 9,3747,Skien,Skien,35519500,Grunnskole
Skauen kristelige skole,Jon Alvsonsgate 14,3746,Skien,Skien,35505400,Grunnskole
Skotfoss oppvekstsenter,Kirkebakken 1,3720,Skien,Skien,35535797,Grunnskole
Stigeråsen skole,Stigeråsen 58b,3726,Skien,Skien,35503070,Grunnskole
Svanvik skole,Hamsdokkvegen 21,3739,Skien,Skien,35506260,Grunnskole
SPT Svanen skole,Hamsdokkvegen 21,3739,Skien,Skien,35597408,Grunnskole
Venstøp skole,Venstøphøgda 135,3721,Skien,Skien,35504280,Grunnskole
Åfoss skole,Eikåsvegen 10,3731,Skien,Skien,35506820,Grunnskole
Atrå barne- og ungdomsskole,Sandven 1,3656,Atrå,Tinn,35082103,Grunnskole
Hovin skole og barnehage,,3652,Hovin,Tinn,35082811,Grunnskole
Miland skole,Milandvegen 58,3658,Miland,Tinn,35082921,Grunnskole
Rjukan barneskole,Sam Eydes gate 163,3660,Rjukan,Tinn,35082770,Grunnskole
Rjukan ungdomsskole,Sam Eydes gate 236,3660,Rjukan,Tinn,35082710,Grunnskole
